2023-10-23 10:26:22,856 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217650 SVID 33 ---
2023-10-23 10:26:22,856 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,856 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217650 SVID 31 ---
2023-10-23 10:26:22,856 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,868 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217650 SVID 26 ---
2023-10-23 10:26:22,870 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,907 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217680 SVID 33 ---
2023-10-23 10:26:22,907 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,909 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217680 SVID 31 ---
2023-10-23 10:26:22,909 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,909 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217680 SVID 26 ---
2023-10-23 10:26:22,909 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,953 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217710 SVID 33 ---
2023-10-23 10:26:22,955 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,956 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217710 SVID 31 ---
2023-10-23 10:26:22,957 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,958 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217710 SVID 26 ---
2023-10-23 10:26:22,958 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,995 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217740 SVID 33 ---
2023-10-23 10:26:22,996 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:22,996 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217740 SVID 26 ---
2023-10-23 10:26:22,996 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,032 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217770 SVID 33 ---
2023-10-23 10:26:23,034 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,036 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217770 SVID 26 ---
2023-10-23 10:26:23,038 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,040 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217770 SVID 24 ---
2023-10-23 10:26:23,040 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,075 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217800 SVID 33 ---
2023-10-23 10:26:23,076 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:26:23,077 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1242 TOW 217800 SVID 26 ---
