2023-10-23 10:27:25,619 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217110 SVID 24 ---
2023-10-23 10:27:25,619 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,621 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217110 SVID 31 ---
2023-10-23 10:27:25,621 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,637 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217140 SVID 24 ---
2023-10-23 10:27:25,637 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,639 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217140 SVID 31 ---
2023-10-23 10:27:25,639 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,652 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217170 SVID 24 ---
2023-10-23 10:27:25,653 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,673 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217200 SVID 24 ---
2023-10-23 10:27:25,679 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,683 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217200 SVID 12 ---
2023-10-23 10:27:25,684 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,685 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217200 SVID 25 ---
2023-10-23 10:27:25,685 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,704 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217230 SVID 24 ---
2023-10-23 10:27:25,705 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,722 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217260 SVID 24 ---
2023-10-23 10:27:25,722 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,724 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217260 SVID 31 ---
2023-10-23 10:27:25,724 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,744 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217290 SVID 24 ---
2023-10-23 10:27:25,746 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,749 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217290 SVID 31 ---
2023-10-23 10:27:25,749 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,765 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217320 SVID 24 ---
2023-10-23 10:27:25,765 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,767 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217320 SVID 31 ---
2023-10-23 10:27:25,767 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,768 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217320 SVID 12 ---
2023-10-23 10:27:25,769 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,770 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217320 SVID 25 ---
2023-10-23 10:27:25,770 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,786 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217350 SVID 24 ---
2023-10-23 10:27:25,787 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:25,788 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217350 SVID 31 ---
2023-10-23 10:27:25,788 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:25,789 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1240 TOW 217350 SVID 25 ---
